Time,Z,dT
1958-02-10 18:39:20,44971.21538600821,23960.000000140695
1958-02-10 18:39:40,44971.31566722961,23980.000000159762
1958-02-10 18:40:00,44971.41594845102,24000.00000017883
1958-02-10 18:40:20,44971.516229672416,24020.00000019789
1958-02-10 18:40:40,44971.616510893815,24040.000000216958
1958-02-10 18:41:00,44971.716792115214,24060.00000023602
1958-02-10 18:41:20,44971.81707333661,24080.000000255088
1958-02-10 18:41:40,44971.91735455801,24100.00000027415
1958-02-10 18:42:00,44972.01763577941,24120.000000293217
1958-02-10 18:42:20,44972.11791700081,24140.000000312284
1958-02-10 18:42:40,44972.21819822221,24160.000000331347
